Beat(position=131, r_peak=128, label=<Label.未知: -1>)
Beat(position=88498, r_peak=88495, label=<Label.窦性心律: 0>)
Beat(position=88701, r_peak=88698, label=<Label.窦性心律: 0>)
Beat(position=88911, r_peak=88908, label=<Label.窦性心律: 0>)
Beat(position=89124, r_peak=89121, label=<Label.窦性心律: 0>)
Beat(position=89336, r_peak=89333, label=<Label.窦性心律: 0>)
Beat(position=89549, r_peak=89547, label=<Label.窦性心律: 0>)
Beat(position=89765, r_peak=89761, label=<Label.窦性心律: 0>)
Beat(position=89978, r_peak=89975, label=<Label.窦性心律: 0>)
Beat(position=90181, r_peak=90178, label=<Label.窦性心律: 0>)
Beat(position=90391, r_peak=90388, label=<Label.窦性心律: 0>)
Beat(position=90612, r_peak=90609, label=<Label.窦性心律: 0>)
Beat(position=90829, r_peak=90827, label=<Label.窦性心律: 0>)
Beat(position=91050, r_peak=91046, label=<Label.窦性心律: 0>)
Beat(position=91261, r_peak=91257, label=<Label.窦性心律: 0>)
Beat(position=91466, r_peak=91463, label=<Label.窦性心律: 0>)
Beat(position=91667, r_peak=91664, label=<Label.窦性心律: 0>)
Beat(position=91875, r_peak=91872, label=<Label.窦性心律: 0>)
Beat(position=92097, r_peak=92094, label=<Label.窦性心律: 0>)
Beat(position=92325, r_peak=92322, label=<Label.窦性心律: 0>)
Beat(position=92543, r_peak=92541, label=<Label.窦性心律: 0>)
Beat(position=92757, r_peak=92755, label=<Label.窦性心律: 0>)
Beat(position=92989, r_peak=92986, label=<Label.窦性心律: 0>)
Beat(position=93224, r_peak=93221, label=<Label.窦性心律: 0>)
Beat(position=93445, r_peak=93442, label=<Label.窦性心律: 0>)
Beat(position=93663, r_peak=93660, label=<Label.窦性心律: 0>)
Beat(position=93881, r_peak=93878, label=<Label.窦性心律: 0>)
Beat(position=94102, r_peak=94100, label=<Label.窦性心律: 0>)
Beat(position=94326, r_peak=94324, label=<Label.窦性心律: 0>)
Beat(position=94544, r_peak=94541, label=<Label.窦性心律: 0>)
Beat(position=94749, r_peak=94745, label=<Label.窦性心律: 0>)
Beat(position=94951, r_peak=94949, label=<Label.窦性心律: 0>)
Beat(position=95165, r_peak=95163, label=<Label.窦性心律: 0>)
Beat(position=95388, r_peak=95385, label=<Label.窦性心律: 0>)
Beat(position=95604, r_peak=95601, label=<Label.窦性心律: 0>)
Beat(position=95805, r_peak=95801, label=<Label.窦性心律: 0>)
Beat(position=96002, r_peak=95998, label=<Label.窦性心律: 0>)
Beat(position=96209, r_peak=96207, label=<Label.窦性心律: 0>)
Beat(position=96436, r_peak=96433, label=<Label.窦性心律: 0>)
Beat(position=96669, r_peak=96667, label=<Label.窦性心律: 0>)
Beat(position=96892, r_peak=96888, label=<Label.窦性心律: 0>)
Beat(position=97103, r_peak=97100, label=<Label.窦性心律: 0>)
Beat(position=97320, r_peak=97317, label=<Label.窦性心律: 0>)
Beat(position=97542, r_peak=97540, label=<Label.窦性心律: 0>)
Beat(position=97766, r_peak=97763, label=<Label.窦性心律: 0>)
Beat(position=97986, r_peak=97984, label=<Label.窦性心律: 0>)
Beat(position=98205, r_peak=98203, label=<Label.窦性心律: 0>)
Beat(position=98431, r_peak=98428, label=<Label.窦性心律: 0>)
Beat(position=98656, r_peak=98653, label=<Label.窦性心律: 0>)
Beat(position=98877, r_peak=98874, label=<Label.窦性心律: 0>)
Beat(position=99094, r_peak=99091, label=<Label.房性早搏: 1>)
Beat(position=99321, r_peak=99318, label=<Label.窦性心律: 0>)
Beat(position=99551, r_peak=99548, label=<Label.窦性心律: 0>)
Beat(position=99775, r_peak=99773, label=<Label.窦性心律: 0>)
Beat(position=99983, r_peak=99981, label=<Label.房性早搏: 1>)
Beat(position=100222, r_peak=100220, label=<Label.窦性心律: 0>)
Beat(position=100450, r_peak=100447, label=<Label.窦性心律: 0>)
Beat(position=100671, r_peak=100669, label=<Label.窦性心律: 0>)
Beat(position=100883, r_peak=100880, label=<Label.窦性心律: 0>)
Beat(position=101101, r_peak=101098, label=<Label.窦性心律: 0>)
Beat(position=101321, r_peak=101318, label=<Label.窦性心律: 0>)
Beat(position=101539, r_peak=101535, label=<Label.窦性心律: 0>)
Beat(position=101756, r_peak=101753, label=<Label.窦性心律: 0>)
Beat(position=101980, r_peak=101978, label=<Label.窦性心律: 0>)
Beat(position=102205, r_peak=102203, label=<Label.窦性心律: 0>)
Beat(position=102429, r_peak=102425, label=<Label.窦性心律: 0>)
Beat(position=102653, r_peak=102650, label=<Label.窦性心律: 0>)
Beat(position=102877, r_peak=102874, label=<Label.窦性心律: 0>)
Beat(position=103097, r_peak=103094, label=<Label.窦性心律: 0>)
Beat(position=103312, r_peak=103309, label=<Label.窦性心律: 0>)
Beat(position=103531, r_peak=103528, label=<Label.窦性心律: 0>)
Beat(position=103753, r_peak=103750, label=<Label.窦性心律: 0>)
Beat(position=103970, r_peak=103966, label=<Label.窦性心律: 0>)
Beat(position=104174, r_peak=104171, label=<Label.窦性心律: 0>)
Beat(position=104380, r_peak=104377, label=<Label.窦性心律: 0>)
Beat(position=104601, r_peak=104598, label=<Label.窦性心律: 0>)
Beat(position=104839, r_peak=104837, label=<Label.窦性心律: 0>)
Beat(position=105068, r_peak=105065, label=<Label.窦性心律: 0>)
Beat(position=105300, r_peak=105297, label=<Label.窦性心律: 0>)
Beat(position=105541, r_peak=105538, label=<Label.窦性心律: 0>)
Beat(position=105752, r_peak=105749, label=<Label.心室预激: 6>)
Beat(position=106004, r_peak=106001, label=<Label.窦性心律: 0>)
Beat(position=106221, r_peak=106219, label=<Label.窦性心律: 0>)
Beat(position=106439, r_peak=106437, label=<Label.窦性心律: 0>)
Beat(position=106649, r_peak=106646, label=<Label.窦性心律: 0>)
Beat(position=106851, r_peak=106848, label=<Label.窦性心律: 0>)
Beat(position=107055, r_peak=107052, label=<Label.窦性心律: 0>)
Beat(position=107263, r_peak=107260, label=<Label.窦性心律: 0>)
Beat(position=107469, r_peak=107466, label=<Label.窦性心律: 0>)
Beat(position=107681, r_peak=107679, label=<Label.窦性心律: 0>)
Beat(position=107897, r_peak=107894, label=<Label.窦性心律: 0>)
Beat(position=108102, r_peak=108100, label=<Label.窦性心律: 0>)
Beat(position=108309, r_peak=108307, label=<Label.窦性心律: 0>)
Beat(position=108519, r_peak=108516, label=<Label.窦性心律: 0>)
Beat(position=108728, r_peak=108725, label=<Label.窦性心律: 0>)
Beat(position=108930, r_peak=108927, label=<Label.窦性心律: 0>)
Beat(position=109139, r_peak=109136, label=<Label.窦性心律: 0>)
Beat(position=109353, r_peak=109350, label=<Label.窦性心律: 0>)
Beat(position=109562, r_peak=109558, label=<Label.窦性心律: 0>)
Beat(position=109765, r_peak=109763, label=<Label.窦性心律: 0>)
Beat(position=109977, r_peak=109975, label=<Label.窦性心律: 0>)
Beat(position=110192, r_peak=110189, label=<Label.窦性心律: 0>)
Beat(position=110397, r_peak=110394, label=<Label.窦性心律: 0>)
Beat(position=110599, r_peak=110597, label=<Label.窦性心律: 0>)
Beat(position=110805, r_peak=110802, label=<Label.窦性心律: 0>)
Beat(position=111012, r_peak=111008, label=<Label.窦性心律: 0>)
Beat(position=111209, r_peak=111206, label=<Label.窦性心律: 0>)
Beat(position=111413, r_peak=111410, label=<Label.窦性心律: 0>)
Beat(position=111621, r_peak=111618, label=<Label.窦性心律: 0>)
Beat(position=111822, r_peak=111819, label=<Label.窦性心律: 0>)
Beat(position=112028, r_peak=112024, label=<Label.窦性心律: 0>)
Beat(position=112236, r_peak=112233, label=<Label.窦性心律: 0>)
Beat(position=112442, r_peak=112438, label=<Label.窦性心律: 0>)
Beat(position=112640, r_peak=112637, label=<Label.窦性心律: 0>)
Beat(position=112845, r_peak=112843, label=<Label.窦性心律: 0>)
Beat(position=113056, r_peak=113053, label=<Label.窦性心律: 0>)
Beat(position=113253, r_peak=113250, label=<Label.窦性心律: 0>)
Beat(position=113449, r_peak=113445, label=<Label.窦性心律: 0>)
Beat(position=113633, r_peak=113631, label=<Label.窦性心律: 0>)
Beat(position=113822, r_peak=113819, label=<Label.窦性心律: 0>)
Beat(position=114014, r_peak=114009, label=<Label.窦性心律: 0>)
Beat(position=114207, r_peak=114203, label=<Label.窦性心律: 0>)
Beat(position=114401, r_peak=114398, label=<Label.窦性心律: 0>)
Beat(position=114590, r_peak=114587, label=<Label.窦性心律: 0>)
Beat(position=114777, r_peak=114774, label=<Label.窦性心律: 0>)
Beat(position=114969, r_peak=114965, label=<Label.窦性心律: 0>)
Beat(position=115161, r_peak=115158, label=<Label.窦性心律: 0>)
Beat(position=115361, r_peak=115359, label=<Label.窦性心律: 0>)
Beat(position=115573, r_peak=115569, label=<Label.窦性心律: 0>)
Beat(position=115779, r_peak=115775, label=<Label.窦性心律: 0>)
Beat(position=115989, r_peak=115987, label=<Label.窦性心律: 0>)
Beat(position=116203, r_peak=116200, label=<Label.窦性心律: 0>)
Beat(position=116412, r_peak=116408, label=<Label.窦性心律: 0>)
Beat(position=116623, r_peak=116620, label=<Label.窦性心律: 0>)
Beat(position=116833, r_peak=116830, label=<Label.窦性心律: 0>)
Beat(position=117037, r_peak=117033, label=<Label.窦性心律: 0>)
Beat(position=117247, r_peak=117244, label=<Label.窦性心律: 0>)
Beat(position=117461, r_peak=117458, label=<Label.窦性心律: 0>)
Beat(position=117677, r_peak=117674, label=<Label.窦性心律: 0>)
Beat(position=117900, r_peak=117897, label=<Label.窦性心律: 0>)
Beat(position=118121, r_peak=118118, label=<Label.窦性心律: 0>)
Beat(position=118345, r_peak=118343, label=<Label.窦性心律: 0>)
Beat(position=118574, r_peak=118572, label=<Label.窦性心律: 0>)
Beat(position=118795, r_peak=118791, label=<Label.窦性心律: 0>)
Beat(position=119020, r_peak=119018, label=<Label.窦性心律: 0>)
Beat(position=119247, r_peak=119244, label=<Label.窦性心律: 0>)
Beat(position=119453, r_peak=119451, label=<Label.房性早搏: 1>)
Beat(position=119684, r_peak=119681, label=<Label.窦性心律: 0>)
Beat(position=119912, r_peak=119909, label=<Label.窦性心律: 0>)
Beat(position=120121, r_peak=120118, label=<Label.窦性心律: 0>)
Beat(position=120353, r_peak=120350, label=<Label.窦性心律: 0>)
Beat(position=120582, r_peak=120579, label=<Label.窦性心律: 0>)
Beat(position=120805, r_peak=120802, label=<Label.窦性心律: 0>)
Beat(position=121041, r_peak=121038, label=<Label.窦性心律: 0>)
Beat(position=121278, r_peak=121276, label=<Label.窦性心律: 0>)
Beat(position=121493, r_peak=121491, label=<Label.窦性心律: 0>)
Beat(position=121737, r_peak=121735, label=<Label.窦性心律: 0>)
Beat(position=121957, r_peak=121954, label=<Label.窦性心律: 0>)
Beat(position=122187, r_peak=122184, label=<Label.窦性心律: 0>)
Beat(position=122411, r_peak=122408, label=<Label.窦性心律: 0>)
Beat(position=122637, r_peak=122635, label=<Label.窦性心律: 0>)
Beat(position=122850, r_peak=122847, label=<Label.房性早搏: 1>)
Beat(position=123073, r_peak=123071, label=<Label.窦性心律: 0>)
Beat(position=123301, r_peak=123297, label=<Label.窦性心律: 0>)
Beat(position=123518, r_peak=123515, label=<Label.窦性心律: 0>)
Beat(position=123749, r_peak=123746, label=<Label.窦性心律: 0>)
Beat(position=123983, r_peak=123980, label=<Label.窦性心律: 0>)
Beat(position=124205, r_peak=124202, label=<Label.窦性心律: 0>)
Beat(position=124437, r_peak=124435, label=<Label.窦性心律: 0>)
Beat(position=124668, r_peak=124664, label=<Label.窦性心律: 0>)
Beat(position=124883, r_peak=124880, label=<Label.窦性心律: 0>)
Beat(position=125105, r_peak=125103, label=<Label.窦性心律: 0>)
Beat(position=125326, r_peak=125324, label=<Label.窦性心律: 0>)
Beat(position=125535, r_peak=125532, label=<Label.窦性心律: 0>)
Beat(position=125751, r_peak=125748, label=<Label.窦性心律: 0>)
Beat(position=125977, r_peak=125974, label=<Label.窦性心律: 0>)
Beat(position=126201, r_peak=126197, label=<Label.窦性心律: 0>)
Beat(position=126436, r_peak=126432, label=<Label.窦性心律: 0>)
Beat(position=126660, r_peak=126656, label=<Label.窦性心律: 0>)
Beat(position=126898, r_peak=126895, label=<Label.窦性心律: 0>)
Beat(position=127120, r_peak=127117, label=<Label.窦性心律: 0>)
Beat(position=127345, r_peak=127342, label=<Label.窦性心律: 0>)
Beat(position=127588, r_peak=127585, label=<Label.窦性心律: 0>)
Beat(position=127808, r_peak=127806, label=<Label.窦性心律: 0>)
Beat(position=128030, r_peak=128028, label=<Label.窦性心律: 0>)
Beat(position=128266, r_peak=128263, label=<Label.窦性心律: 0>)
Beat(position=128482, r_peak=128479, label=<Label.窦性心律: 0>)
Beat(position=128699, r_peak=128696, label=<Label.窦性心律: 0>)
Beat(position=128925, r_peak=128922, label=<Label.窦性心律: 0>)
Beat(position=129145, r_peak=129142, label=<Label.窦性心律: 0>)
Beat(position=129355, r_peak=129352, label=<Label.窦性心律: 0>)
Beat(position=129569, r_peak=129566, label=<Label.窦性心律: 0>)
Beat(position=129785, r_peak=129782, label=<Label.窦性心律: 0>)
Beat(position=129997, r_peak=129994, label=<Label.窦性心律: 0>)
Beat(position=130220, r_peak=130216, label=<Label.窦性心律: 0>)
Beat(position=130448, r_peak=130445, label=<Label.窦性心律: 0>)
Beat(position=130660, r_peak=130657, label=<Label.窦性心律: 0>)
Beat(position=130885, r_peak=130883, label=<Label.窦性心律: 0>)
Beat(position=131110, r_peak=131108, label=<Label.窦性心律: 0>)
Beat(position=131321, r_peak=131319, label=<Label.窦性心律: 0>)
Beat(position=131548, r_peak=131545, label=<Label.窦性心律: 0>)
Beat(position=131776, r_peak=131773, label=<Label.窦性心律: 0>)
Beat(position=131989, r_peak=131986, label=<Label.窦性心律: 0>)
Beat(position=132217, r_peak=132214, label=<Label.窦性心律: 0>)
Beat(position=132444, r_peak=132440, label=<Label.窦性心律: 0>)
Beat(position=132655, r_peak=132653, label=<Label.窦性心律: 0>)
Beat(position=132884, r_peak=132880, label=<Label.窦性心律: 0>)
Beat(position=133112, r_peak=133109, label=<Label.窦性心律: 0>)
Beat(position=133325, r_peak=133322, label=<Label.窦性心律: 0>)
Beat(position=133561, r_peak=133558, label=<Label.窦性心律: 0>)
Beat(position=133778, r_peak=133775, label=<Label.窦性心律: 0>)
Beat(position=134012, r_peak=134008, label=<Label.窦性心律: 0>)
Beat(position=134245, r_peak=134242, label=<Label.窦性心律: 0>)
Beat(position=134478, r_peak=134475, label=<Label.窦性心律: 0>)
Beat(position=134690, r_peak=134687, label=<Label.窦性心律: 0>)
Beat(position=134932, r_peak=134930, label=<Label.窦性心律: 0>)
Beat(position=135149, r_peak=135145, label=<Label.窦性心律: 0>)
Beat(position=135378, r_peak=135376, label=<Label.窦性心律: 0>)
Beat(position=135609, r_peak=135605, label=<Label.窦性心律: 0>)
Beat(position=135822, r_peak=135819, label=<Label.窦性心律: 0>)
Beat(position=136053, r_peak=136051, label=<Label.窦性心律: 0>)
Beat(position=136285, r_peak=136283, label=<Label.窦性心律: 0>)
Beat(position=136502, r_peak=136500, label=<Label.窦性心律: 0>)
Beat(position=136735, r_peak=136733, label=<Label.窦性心律: 0>)
